id,distance,east,nrth,cll2
1,0,440197.91,6954610.94,1
1,10,440203.567,6954605.283,1
1,20,440205.81,6954597.04,1
1,30,440209.41,6954589.117,1
1,40,440210.41,6954579.531,1
1,50,440214.881,6954571.969,1
1,60,440221.538,6954565.312,1
1,70,440225.073,6954556.777,1
1,80,440227.41,6954547.745,1
1,90,440230.851,6954539.998,1
1,100,440235.41,6954531.887,1
1,110,440238.41,6954523.129,1
1,120,440240.41,6954514.786,1
1,130,440243.7,6954506.73,1
1,140,440249.236,6954503.614,1
2,0,440782.41,6954092.44,2
2,10,440789.481,6954099.511,2
2,20,440795.138,6954107.167,2
2,30,440801.502,6954114.531,2
2,40,440808.573,6954121.602,2
2,50,440815.644,6954128.674,2
2,60,440822.715,6954135.745,2
2,70,440829.786,6954142.816,2
2,80,440837.443,6954148.473,2
2,90,440844.514,6954155.544,2
2,100,440851.585,6954162.615,2
2,110,440851.41,6954171.859,2
2,120,440851.707,6954181.736,2
2,130,440858.778,6954188.807,2
2,140,440865.849,6954195.878,2
2,150,440872.92,6954202.949,2
2,160,440878.577,6954210.606,2
2,170,440884.41,6954218.19,2
2,180,440889.89,6954225.92,2
2,190,440890.41,6954235.704,2
2,200,440890.41,6954245.704,2
2,210,440890.41,6954255.704,2
2,220,440890.41,6954265.704,2
2,230,440890.41,6954275.704,2
2,240,440890.41,6954285.704,2
2,250,440890.41,6954295.704,2
2,260,440890.41,6954305.704,2
2,270,440890.41,6954315.704,2
2,280,440890.41,6954325.704,2
2,290,440890.41,6954335.704,2
2,300,440890.41,6954345.704,2
2,310,440887.41,6954354.462,2
2,320,440887.41,6954364.462,2
2,330,440887.41,6954374.462,2
2,340,440887.41,6954384.462,2
2,350,440888.84,6954393.869,2
2,360,440894.497,6954401.526,2
2,370,440900.861,6954408.89,2
2,380,440906.41,6954416.592,2
2,390,440911.41,6954424.521,2
2,400,440915.71,6954432.74,2
2,410,440919.246,6954441.275,2
2,420,440920.41,6954450.793,2
2,430,440920.41,6954460.793,2
2,440,440920.41,6954470.793,2
2,450,440921.41,6954480.379,2
2,460,440922.41,6954489.964,2
2,470,440925.41,6954498.722,2
2,480,440929.41,6954507.065,2
2,490,440931.41,6954516.236,2
2,500,440934.41,6954524.994,2
2,510,440938.41,6954533.337,2
2,520,440941.41,6954542.094,2
2,530,440943.41,6954551.266,2
2,540,440943.41,6954561.266,2
2,550,440943.41,6954571.266,2
2,560,440943.41,6954581.266,2
2,570,440938.583,6954589.266,2
2,580,440935.048,6954597.802,2
2,590,440934.41,6954607.538,2
2,600,440934.41,6954617.538,2
2,610,440934.41,6954627.538,2
2,620,440937.308,6954636.338,2
2,630,440942.41,6954644.224,2
2,640,440945.41,6954652.982,2
2,650,440952.157,6954660.187,2
2,660,440957.814,6954667.844,2
2,670,440961.41,6954676.354,2
2,680,440968.41,6954683.455,2
2,690,440970.41,6954692.626,2
2,700,440974.41,6954700.969,2
2,710,440975.41,6954710.555,2
2,720,440978.32,6954719.35,2
2,730,440978.41,6954729.313,2
2,740,440981.41,6954738.07,2
2,750,440983.41,6954747.241,2
2,760,440984.41,6954756.827,2
2,770,440986.41,6954765.999,2
2,780,440986.41,6954775.999,2
2,790,440986.41,6954785.999,2
2,800,440988.41,6954795.17,2
2,810,440990.41,6954804.342,2
2,820,440990.41,6954814.342,2
2,830,440993.41,6954823.099,2
2,840,440995.998,6954832.027,2
2,850,440996.705,6954841.734,2
2,860,441002.362,6954849.391,2
2,870,441009.433,6954856.462,2
2,880,441012.969,6954864.998,2
2,890,441020.04,6954872.069,2
2,900,441022.41,6954881.087,2
2,910,441026.404,6954889.433,2
2,920,441032.06,6954897.09,2
2,930,441035.596,6954905.625,2
2,940,441040.41,6954913.631,2
2,950,441045.495,6954921.525,2
2,960,441047.617,6954930.646,2
2,970,441051.41,6954939.075,2
2,980,441054.41,6954947.832,2
2,990,441054.41,6954957.832,2
2,1000,441054.41,6954967.832,2
2,1010,441057.516,6954976.546,2
2,1020,441060.41,6954985.347,2
2,1030,441061.41,6954994.933,2
2,1040,441061.41,6955004.933,2
2,1050,441061.41,6955014.933,2
2,1060,441056.819,6955023.031,2
2,1070,441049.748,6955030.102,2
2,1080,441042.384,6955036.466,2
2,1090,441034.434,6955041.416,2
2,1100,441026.515,6955046.44,2
2,1110,441019.12,6955052.729,2
2,1120,441012.049,6955059.801,2
2,1130,441004.099,6955064.75,2
2,1140,440997.028,6955071.821,2
2,1150,440988.941,6955076.44,2
2,1160,440979.77,6955078.44,2
2,1170,440971.841,6955083.44,2
2,1180,440961.841,6955083.44,2
2,1190,440951.841,6955083.44,2
2,1200,440941.841,6955083.44,2
2,1210,440933.912,6955086.44,2
2,1220,440926.108,6955091.742,2
2,1230,440919.744,6955099.106,2
2,1240,440916.41,6955107.725,2
2,1250,440913.41,6955116.482,2
2,1260,440908.43,6955124.419,2
2,1270,440902.41,6955131.926,2
2,1280,440899.945,6955140.905,2
2,1290,440892.874,6955147.976,2
2,1300,440885.803,6955155.047,2
2,1310,440878.439,6955161.411,2
2,1320,440870.782,6955165.068,2
2,1330,440862.954,6955168.896,2
2,1340,440856.41,6955176.186,2
2,1350,440853.64,6955184.21,2
2,1360,440846.569,6955191.281,2
2,1370,440839.498,6955198.352,2
2,1380,440833.41,6955205.83,2
2,1390,440827.891,6955212.958,2
2,1400,440820.82,6955220.029,2
2,1410,440813.749,6955227.101,2
2,1420,440806.678,6955234.172,2
2,1430,440799.607,6955241.243,2
2,1440,440792.536,6955248.314,2
2,1450,440787.586,6955256.263,2
2,1460,440780.515,6955263.335,2
2,1470,440773.444,6955270.406,2
2,1480,440765.943,6955276.44,2
2,1490,440758.837,6955282.012,2
2,1500,440754.595,6955290.255,2
2,1510,440748.231,6955297.619,2
2,1520,440742.41,6955305.208,2
2,1530,440736.21,6955312.64,2
2,1540,440731.967,6955320.882,2
2,1550,440727.018,6955328.832,2
2,1560,440720.654,6955336.196,2
2,1570,440715.41,6955344.024,2
2,1580,440710.41,6955351.953,2
2,1590,440707.926,6955360.924,2
2,1600,440701.562,6955368.288,2
2,1610,440697.41,6955376.568,2
2,1620,440695.158,6955384.187,2
2,1630,440694.41,6955393.669,2
2,1640,440690.41,6955402.012,2
2,1650,440690.41,6955412.012,2
2,1660,440690.41,6955422.012,2
2,1670,440688.41,6955431.183,2
2,1680,440684.349,6955439.501,2
2,1690,440680.106,6955447.744,2
2,1700,440678.836,6955456.865,2
2,1710,440673.051,6955461.44,2
2,1720,440664.621,6955465.229,2
2,1730,440656.964,6955470.886,2
2,1740,440649.264,6955476.44,2
2,1750,440641.064,6955480.785,2
2,1760,440633.115,6955485.735,2
2,1770,440626.043,6955492.806,2
2,1780,440618.972,6955499.877,2
2,1790,440611.901,6955506.948,2
2,1800,440604.83,6955514.019,2
2,1810,440598.466,6955521.383,2
2,1820,440592.41,6955528.875,2
2,1830,440589.41,6955537.632,2
2,1840,440585.031,6955545.818,2
2,1850,440577.96,6955552.889,2
2,1860,440573.41,6955561.005,2
2,1870,440568.061,6955568.789,2
2,1880,440560.99,6955575.86,2
2,1890,440556.626,6955583.224,2
2,1900,440547.504,6955585.345,2
2,1910,440540.433,6955592.416,2
2,1920,440536.191,6955600.659,2
2,1930,440530.41,6955608.265,2
2,1940,440526.998,6955616.851,2
2,1950,440521.41,6955624.537,2
2,1960,440521.41,6955633.708,2
2,1970,440519.806,6955643.044,2
2,1980,440515.563,6955651.286,2
2,1990,440511.41,6955659.566,2
2,2000,440507.078,6955667.772,2
2,2010,440504.41,6955676.667,2
2,2020,440502.41,6955685.838,2
2,2030,440497.886,6955693.964,2
2,2040,440492.936,6955701.914,2
2,2050,440486.572,6955709.278,2
2,2060,440482.41,6955717.554,2
2,2070,440481.622,6955727.228,2
2,2080,440474.551,6955734.299,2
2,2090,440469.308,6955741.541,2
2,2100,440468.41,6955751.169,2
2,2110,440468.41,6955761.169,2
2,2120,440467.41,6955770.755,2
2,2130,440462.944,6955778.905,2
2,2140,440463.41,6955787.441,2
2,2150,440464.41,6955797.027,2
2,2160,440469.41,6955803.784,2
2,2170,440469.41,6955812.956,2
2,2180,440474.41,6955816.542,2
2,2190,440477.41,6955823.885,2
2,2200,440479.846,6955832.876,2
2,2210,440476.024,6955840.826,2
2,2220,440475.41,6955850.571,2
2,2230,440475.41,6955860.571,2
2,2240,440475.41,6955870.571,2
3,0,440252.41,6954497.44,3
3,10,440256.41,6954489.096,3
3,20,440259.481,6954480.368,3
3,30,440263.41,6954471.996,3
3,40,440267.259,6954463.59,3
3,50,440270.41,6954454.895,3
3,60,440274.33,6954446.519,3
3,70,440277.866,6954437.984,3
3,80,440281.401,6954429.448,3
3,90,440284.937,6954420.913,3
3,100,440288.473,6954412.377,3
3,110,440292.008,6954403.842,3
3,120,440295.544,6954395.306,3
3,130,440299.41,6954386.908,3
3,140,440302.615,6954378.235,3
3,150,440306.857,6954369.992,3
3,160,440310.393,6954361.457,3
3,170,440313.928,6954352.921,3
3,180,440317.41,6954344.363,3
3,190,440320.999,6954335.85,3
3,200,440324.41,6954327.263,3
3,210,440328.071,6954318.779,3
3,220,440331.41,6954310.162,3
3,230,440334.434,6954301.415,3
3,240,440338.41,6954293.062,3
3,250,440342.213,6954284.637,3
3,260,440347.162,6954276.687,3
3,270,440354.233,6954269.616,3
3,280,440363.746,6954268.44,3
3,290,440373.062,6954270.091,3
3,300,440382.089,6954272.44,3
3,310,440390.847,6954275.44,3
3,320,440400.018,6954277.44,3
3,330,440409.604,6954278.44,3
3,340,440419.19,6954279.44,3
3,350,440427.533,6954283.44,3
3,360,440436.032,6954287.062,3
3,370,440444.633,6954290.44,3
3,380,440453.104,6954294.133,3
3,390,440461.639,6954297.668,3
3,400,440470.077,6954301.44,3
3,410,440478.834,6954304.44,3
3,420,440487.592,6954307.44,3
3,430,440496.763,6954309.44,3
3,440,440505.521,6954312.44,3
3,450,440514.278,6954315.44,3
3,460,440522.852,6954318.882,3
3,470,440531.388,6954322.417,3
3,480,440540.136,6954325.44,3
3,490,440548.893,6954328.44,3
3,500,440557.873,6954330.902,3
3,510,440566.822,6954333.44,3
3,520,440576.116,6954333.734,3
3,530,440579.41,6954325.098,3
3,540,440579.41,6954315.098,3
3,550,440579.41,6954305.098,3
3,560,440579.41,6954295.098,3
3,570,440581.065,6954285.784,3
3,580,440582.41,6954276.341,3
3,590,440583.41,6954266.755,3
3,600,440584.41,6954257.17,3
3,610,440584.601,6954247.249,3
3,620,440589.551,6954239.299,3
3,630,440590.41,6954229.655,3
3,640,440593.793,6954221.056,3
3,650,440597.329,6954212.521,3
3,660,440604.986,6954206.864,3
3,670,440614.396,6954205.44,3
3,680,440624.396,6954205.44,3
3,690,440634.107,6954204.742,3
3,700,440635.41,6954195.282,3
3,710,440636.41,6954185.696,3
3,720,440637.41,6954176.111,3
3,730,440638.41,6954166.525,3
3,740,440639.41,6954156.939,3
3,750,440640.41,6954147.353,3
3,760,440641.41,6954137.767,3
3,770,440644.007,6954128.843,3
3,780,440651.956,6954123.893,3
3,790,440658.32,6954116.529,3
3,800,440661.41,6954107.809,3
3,810,440663.41,6954098.638,3
3,820,440665.391,6954089.458,3
3,830,440672.462,6954082.387,3
3,840,440681.241,6954079.44,3
3,850,440691.241,6954079.44,3
3,860,440701.241,6954079.44,3
3,870,440711.241,6954079.44,3
3,880,440721.241,6954079.44,3
3,890,440731.241,6954079.44,3
3,900,440741.241,6954079.44,3
3,910,440751.241,6954079.44,3
3,920,440761.241,6954079.44,3
3,930,440770.705,6954080.734,3
3,940,440777.776,6954087.806,3
4,0,438026.91,6953680.94,4
4,10,438034.218,6953685.44,4
4,20,438042.224,6953690.253,4
4,30,438049.466,6953695.496,4
4,40,438051.41,6953702.448,4
4,50,438060.005,6953704.44,4
4,60,438067.59,6953707.44,4
4,70,438074.176,6953711.44,4
4,80,438080.176,6953715.44,4
4,90,438086.762,6953719.44,4
4,100,438092.762,6953723.44,4
4,110,438099.366,6953727.395,4
4,120,438106.348,6953730.44,4
4,130,438112.348,6953734.44,4
4,140,438118.933,6953738.44,4
4,150,438125.41,6953741.963,4
4,160,438132.41,6953745.549,4
4,170,438138.41,6953749.549,4
4,180,438144.41,6953754.134,4
4,190,438150.41,6953758.134,4
4,200,438155.691,6953763.44,4
4,210,438161.277,6953768.44,4
4,220,438165.41,6953774.306,4
4,230,438167.41,6953783.478,4
4,240,438170.448,6953790.44,4
4,250,438180.034,6953791.44,4
4,260,438189.206,6953789.44,4
4,270,438198.791,6953788.44,4
4,280,438207.963,6953786.44,4
4,290,438216.549,6953786.44,4
4,300,438223.549,6953789.44,4
4,310,438232.215,6953791.245,4
4,320,438240.134,6953793.44,4
4,330,438248.41,6953795.164,4
4,340,438256.165,6953800.194,4
4,350,438264.41,6953802.093,4
4,360,438272.063,6953804.44,4
4,370,438279.649,6953807.44,4
4,380,438287.649,6953809.44,4
4,390,438295.41,6953811.679,4
4,400,438302.649,6953814.44,4
4,410,438310.41,6953817.264,4
4,420,438318.235,6953819.44,4
4,430,438326.235,6953821.44,4
4,440,438334.821,6953823.44,4
4,450,438342.821,6953825.44,4
4,460,438349.821,6953828.44,4
4,470,438357.408,6953831.437,4
4,480,438365.407,6953833.44,4
4,490,438373.407,6953835.44,4
4,500,438381.407,6953837.44,4
4,510,438388.992,6953840.44,4
4,520,438395.992,6953843.44,4
4,530,438403.992,6953845.44,4
4,540,438412.578,6953847.44,4
4,550,438420.41,6953849.608,4
4,560,438427.578,6953852.44,4
4,570,438435.164,6953855.44,4
4,580,438443.164,6953857.44,4
4,590,438450.41,6953860.193,4
4,600,438457.75,6953863.44,4
4,610,438465.75,6953865.44,4
4,620,438474.479,6953868.508,4
4,630,438482.41,6953872.294,4
4,640,438490.264,6953874.44,4
4,650,438497.264,6953877.44,4
4,660,438505.85,6953879.44,4
4,670,438513.85,6953881.44,4
4,680,438521.85,6953883.44,4
4,690,438528.85,6953886.44,4
4,700,438537.436,6953888.44,4
4,710,438544.436,6953891.44,4
4,720,438552.436,6953893.44,4
4,730,438560.022,6953896.44,4
4,740,438568.022,6953898.44,4
4,750,438575.022,6953901.44,4
4,760,438584.022,6953902.44,4
4,770,438591.608,6953905.44,4
4,780,438599.608,6953907.44,4
4,790,438607.608,6953909.44,4
4,800,438616.193,6953911.44,4
4,810,438624.41,6953913.223,4
4,820,438632.193,6953915.44,4
4,830,438639.41,6953918.223,4
4,840,438647.41,6953920.809,4
4,850,438654.779,6953923.44,4
4,860,438662.779,6953925.44,4
4,870,438670.365,6953928.44,4
4,880,438678.365,6953930.44,4
4,890,438685.41,6953933.394,4
4,900,438693.41,6953935.98,4
4,910,438701.41,6953937.98,4
4,920,438708.951,6953940.44,4
4,930,438716.951,6953942.44,4
4,940,438725.536,6953944.44,4
