id,dist,east,nrth,cll2
1,0,562999.88,6814885.429,1
2,25,562981.595,6814870.91,2
3,50,562964.792,6814852.738,3
4,75,562954.337,6814830.634,4
5,100,562947.448,6814807.29,5
6,125,562933.439,6814787.118,6
7,150,562925.471,6814763.422,7
8,175,562917.503,6814739.726,8
9,200,562909.535,6814716.03,9
10,225,562901.567,6814692.333,10
11,250,562893.598,6814668.637,11
12,275,562885.63,6814644.941,12
13,300,562875.348,6814622.283,13
14,325,562862.945,6814600.577,14
15,350,562850.542,6814578.871,15
16,375,562836.78,6814558.067,16
17,400,562821.569,6814538.227,17
18,425,562806.358,6814518.387,18
19,450,562791.148,6814498.547,19
20,475,562782.833,6814475.537,20
21,500,562779.037,6814450.958,21
22,525,562779.98,6814425.976,22
23,550,562783.645,6814401.265,23
24,575,562787.647,6814376.587,24
25,600,562791.084,6814351.917,25
26,625,562786.437,6814327.353,26
27,650,562781.79,6814302.789,27
28,675,562774.446,6814279.539,28
29,700,562757.951,6814260.753,29
30,725,562752.935,6814236.807,30
31,750,562736.729,6814218.862,31
32,775,562719.787,6814200.899,32
33,800,562708.606,6814178.539,33
34,825,562702.379,6814154.558,34
35,850,562707.421,6814131.878,35
36,875,562720.978,6814110.875,36
37,900,562735.341,6814090.465,37
38,925,562749.312,6814070.463,38
39,950,562747.354,6814046.066,39
40,975,562730.309,6814028.68,40
41,1000,562706.88,6814022.209,41
42,1025,562686.836,6814033.487,42
43,1050,562668.685,6814050.447,43
44,1075,562647.193,6814063.218,44
45,1100,562625.149,6814074.649,45
46,1125,562600.719,6814078.534,46
47,1150,562575.806,6814076.458,47
48,1175,562551.097,6814072.766,48
49,1200,562526.455,6814068.551,49
50,1225,562502.648,6814061.086,50
51,1250,562479.026,6814052.901,51
52,1275,562455.4,6814044.726,52
53,1300,562431.749,6814036.626,53
54,1325,562407.84,6814029.874,54
55,1350,562382.868,6814028.685,55
56,1375,562358.806,6814033.462,56
57,1400,562335.557,6814042.586,57
58,1425,562313.134,6814053.64,58
59,1450,562290.502,6814064.218,59
60,1475,562267.179,6814073.22,60
61,1500,562242.71,6814075.065,61
62,1525,562217.744,6814073.765,62
63,1550,562192.784,6814072.352,63
64,1575,562171.824,6814084.877,64
65,1600,562149.039,6814094.14,65
66,1625,562125.877,6814086.107,66
67,1650,562102.633,6814076.912,67
68,1675,562078.067,6814075.648,68
69,1700,562053.972,6814079.896,69
70,1725,562037.799,6814095.51,70
71,1750,562039.853,6814120.247,71
72,1775,562037.895,6814144.653,72
73,1800,562020.626,6814161.759,73
