node,ldst,xdst,east,nrth,elev
73,1800,-100,562090.926,6814232.859,147.723007202148
73,1800,-98,562089.52,6814231.437,147.662002563477
73,1800,-96,562088.114,6814230.015,147.580993652344
73,1800,-94,562086.708,6814228.593,147.384002685547
73,1800,-92,562085.302,6814227.171,147.485992431641
73,1800,-90,562083.896,6814225.749,147.526000976562
73,1800,-88,562082.49,6814224.327,147.5
73,1800,-86,562081.084,6814222.905,147.425003051758
73,1800,-84,562079.678,6814221.483,147.345001220703
73,1800,-82,562078.272,6814220.061,147.356002807617
73,1800,-80,562076.866,6814218.639,147.313003540039
73,1800,-78,562075.46,6814217.217,147.218994140625
73,1800,-76,562074.054,6814215.795,147.192993164062
73,1800,-74,562072.648,6814214.373,147.121994018555
73,1800,-72,562071.242,6814212.951,147.108993530273
73,1800,-70,562069.836,6814211.529,147.018005371094
73,1800,-68,562068.43,6814210.107,146.996002197266
73,1800,-66,562067.024,6814208.685,146.919998168945
73,1800,-64,562065.618,6814207.263,146.884994506836
73,1800,-62,562064.212,6814205.841,146.871994018555
73,1800,-60,562062.806,6814204.419,146.901000976562
73,1800,-58,562061.4,6814202.997,146.867004394531
73,1800,-56,562059.994,6814201.575,146.930999755859
73,1800,-54,562058.588,6814200.153,146.899993896484
73,1800,-52,562057.182,6814198.731,146.940994262695
73,1800,-50,562055.776,6814197.309,146.940002441406
73,1800,-48,562054.37,6814195.887,146.981994628906
73,1800,-46,562052.964,6814194.465,146.988006591797
73,1800,-44,562051.558,6814193.043,147.042007446289
73,1800,-42,562050.152,6814191.621,146.882995605469
73,1800,-40,562048.746,6814190.199,146.92399597168
73,1800,-38,562047.34,6814188.777,146.998001098633
73,1800,-36,562045.934,6814187.355,147.007995605469
73,1800,-34,562044.528,6814185.933,146.994003295898
73,1800,-32,562043.122,6814184.511,147.044998168945
73,1800,-30,562041.716,6814183.089,147.022994995117
73,1800,-28,562040.31,6814181.667,147.039001464844
73,1800,-26,562038.904,6814180.245,146.994995117188
73,1800,-24,562037.498,6814178.823,147.024993896484
73,1800,-22,562036.092,6814177.401,147
73,1800,-20,562034.686,6814175.979,146.848999023438
73,1800,-18,562033.28,6814174.557,146.781997680664
73,1800,-16,562031.874,6814173.135,146.697006225586
73,1800,-14,562030.468,6814171.713,146.623992919922
73,1800,-12,562029.062,6814170.291,146.569000244141
73,1800,-10,562027.656,6814168.869,146.550994873047
73,1800,-8,562026.25,6814167.447,146.457000732422
73,1800,-6,562024.844,6814166.025,145.837005615234
73,1800,-4,562023.438,6814164.603,145.475006103516
73,1800,-2,562022.032,6814163.181,145.391998291016
73,1800,0,562020.626,6814161.759,145.764007568359
73,1800,2,562019.22,6814160.337,145.958999633789
73,1800,4,562017.814,6814158.915,146.143997192383
73,1800,6,562016.408,6814157.493,146.242004394531
73,1800,8,562015.002,6814156.071,146.350006103516
73,1800,10,562013.596,6814154.649,146.477005004883
73,1800,12,562012.19,6814153.227,146.615005493164
73,1800,14,562010.784,6814151.805,146.712997436523
73,1800,16,562009.378,6814150.383,146.914993286133
73,1800,18,562007.972,6814148.961,146.639007568359
73,1800,20,562006.566,6814147.539,146.619995117188
73,1800,22,562005.16,6814146.117,146.606994628906
73,1800,24,562003.754,6814144.695,146.610000610352
73,1800,26,562002.348,6814143.273,146.641006469727
73,1800,28,562000.942,6814141.851,146.753005981445
72,1775,-100,562128.595,6814186.753,147.975997924805
72,1775,-98,562126.781,6814185.911,147.925003051758
72,1775,-96,562124.967,6814185.069,147.949005126953
72,1775,-94,562123.153,6814184.227,147.945999145508
72,1775,-92,562121.339,6814183.385,147.884994506836
72,1775,-90,562119.525,6814182.543,147.804000854492
72,1775,-88,562117.711,6814181.701,147.779006958008
72,1775,-86,562115.897,6814180.859,147.677993774414
72,1775,-84,562114.083,6814180.017,147.602005004883
72,1775,-82,562112.269,6814179.175,147.477996826172
72,1775,-80,562110.455,6814178.333,147.511001586914
72,1775,-78,562108.641,6814177.491,147.546005249023
72,1775,-76,562106.827,6814176.649,147.526992797852
72,1775,-74,562105.013,6814175.807,147.445999145508
72,1775,-72,562103.199,6814174.965,147.477005004883
72,1775,-70,562101.385,6814174.123,147.475006103516
72,1775,-68,562099.571,6814173.281,147.464004516602
72,1775,-66,562097.757,6814172.439,147.518005371094
72,1775,-64,562095.943,6814171.597,147.63200378418
72,1775,-62,562094.129,6814170.755,147.649002075195
72,1775,-60,562092.315,6814169.913,147.610000610352
72,1775,-58,562090.501,6814169.071,147.544998168945
72,1775,-56,562088.687,6814168.229,147.483993530273
72,1775,-54,562086.873,6814167.387,147.539001464844
72,1775,-52,562085.059,6814166.545,147.555999755859
72,1775,-50,562083.245,6814165.703,147.524993896484
72,1775,-48,562081.431,6814164.861,147.32600402832
72,1775,-46,562079.617,6814164.019,147.180999755859
72,1775,-44,562077.803,6814163.177,147.233993530273
72,1775,-42,562075.989,6814162.335,147.037002563477
72,1775,-40,562074.175,6814161.493,146.975997924805
72,1775,-38,562072.361,6814160.651,146.910995483398
72,1775,-36,562070.547,6814159.809,146.731994628906
72,1775,-34,562068.733,6814158.967,146.591003417969
72,1775,-32,562066.919,6814158.125,146.641006469727
72,1775,-30,562065.105,6814157.283,146.518997192383
72,1775,-28,562063.291,6814156.441,146.419998168945
72,1775,-26,562061.477,6814155.599,146.330993652344
72,1775,-24,562059.663,6814154.757,146.322998046875
72,1775,-22,562057.849,6814153.915,146.360992431641
72,1775,-20,562056.035,6814153.073,146.375
72,1775,-18,562054.221,6814152.231,146.425003051758
72,1775,-16,562052.407,6814151.389,146.421005249023
72,1775,-14,562050.593,6814150.547,146.434005737305
72,1775,-12,562048.779,6814149.705,146.464996337891
72,1775,-10,562046.965,6814148.863,146.505996704102
72,1775,-8,562045.151,6814148.021,146.453002929688
72,1775,-6,562043.337,6814147.179,145.740997314453
72,1775,-4,562041.523,6814146.337,145.535995483398
72,1775,-2,562039.709,6814145.495,145.649002075195
72,1775,0,562037.895,6814144.653,145.77799987793
72,1775,2,562036.081,6814143.811,145.835998535156
72,1775,4,562034.267,6814142.969,146.014007568359
72,1775,6,562032.453,6814142.127,146.154998779297
72,1775,8,562030.639,6814141.285,146.332000732422
72,1775,10,562028.825,6814140.443,146.440002441406
72,1775,12,562027.011,6814139.601,146.529006958008
72,1775,14,562025.197,6814138.759,146.634994506836
72,1775,16,562023.383,6814137.917,146.710998535156
72,1775,18,562021.569,6814137.075,146.675994873047
72,1775,20,562019.755,6814136.233,146.753997802734
72,1775,22,562017.941,6814135.391,146.731994628906
72,1775,24,562016.127,6814134.549,146.781005859375
72,1775,26,562014.313,6814133.707,146.828994750977
72,1775,28,562012.499,6814132.865,146.824996948242
72,1775,30,562010.685,6814132.023,146.826995849609
72,1775,32,562008.871,6814131.181,146.856994628906
72,1775,34,562007.057,6814130.339,146.884994506836
72,1775,36,562005.243,6814129.497,146.923004150391
